Date,Affected pages
2026-04-17,704
2026-04-18,686
2026-04-19,686
2026-04-20,686
2026-04-21,661
2026-04-22,661
2026-04-23,661
2026-04-24,661
2026-04-25,638
2026-04-26,638
2026-04-27,638
2026-04-28,578
2026-04-29,578
2026-04-30,578
2026-05-01,578
2026-05-02,556
2026-05-03,556
2026-05-04,556
2026-05-05,517
2026-05-06,517
2026-05-07,517
2026-05-08,517
2026-05-09,496
2026-05-10,496
2026-05-11,496
2026-05-12,475
2026-05-13,475
2026-05-14,475
2026-05-15,475
2026-05-16,450
2026-05-17,450
2026-05-18,450
2026-05-19,435
2026-05-20,435
2026-05-21,435
2026-05-22,435
2026-05-23,428
2026-05-24,428
2026-05-25,428
2026-05-26,415
2026-05-27,415
2026-05-28,415
2026-05-29,415
2026-05-30,405
2026-05-31,405
2026-06-01,405
2026-06-02,391
2026-06-03,391
2026-06-04,391
2026-06-05,391
2026-06-06,380
2026-06-07,380
2026-06-08,380
2026-06-09,367
2026-06-10,367
2026-06-11,367
2026-06-12,367
2026-06-13,334
2026-06-14,334
2026-06-15,334
2026-06-16,334
2026-06-17,334
2026-06-18,334
2026-06-19,334
2026-06-20,334
2026-06-21,334
2026-06-22,334
2026-06-23,334
2026-06-24,334
2026-06-25,334
2026-06-26,334
2026-06-27,334
2026-06-28,334
2026-06-29,334
2026-06-30,334
