Country,Clicks,Impressions,CTR,Position
Philippines,3860,38669,9.98%,9.13
United States,813,762139,0.11%,22.09
United Kingdom,720,79434,0.91%,20.82
India,394,35960,1.1%,22.38
Brazil,354,25561,1.38%,30.94
Australia,346,27542,1.26%,26.37
Pakistan,97,4432,2.19%,19.11
Mexico,72,6903,1.04%,16.28
Canada,62,21519,0.29%,22.94
South Africa,60,3596,1.67%,29.65
Indonesia,56,5171,1.08%,16.47
Croatia,54,1880,2.87%,9.34
Poland,46,2705,1.7%,17.81
Spain,41,5369,0.76%,17.25
New Zealand,40,1850,2.16%,29.48
Thailand,39,2186,1.78%,16.6
Singapore,37,4304,0.86%,23.15
Germany,35,14071,0.25%,22.29
Ireland,35,1861,1.88%,24.86
Portugal,35,1674,2.09%,16.52
France,33,7194,0.46%,20.61
Colombia,31,2885,1.07%,17.69
Italy,27,5475,0.49%,20.69
Argentina,27,3632,0.74%,22.07
Netherlands,25,25042,0.1%,24.66
China,25,1902,1.31%,10.59
Serbia,25,836,2.99%,12.16
Japan,24,2573,0.93%,15.94
Ukraine,23,3016,0.76%,22.04
Peru,23,1287,1.79%,18.9
Romania,21,1587,1.32%,13.96
United Arab Emirates,20,3146,0.64%,26.59
Bangladesh,18,2205,0.82%,24.26
Nigeria,18,2044,0.88%,16.8
Sweden,17,5312,0.32%,24.93
Malaysia,16,3270,0.49%,18.75
Hong Kong,16,1503,1.06%,15.22
Vietnam,14,6914,0.2%,24.92
Egypt,14,1763,0.79%,25.05
Norway,13,1061,1.23%,20.35
Bolivia,13,419,3.1%,19.31
Dominican Republic,12,656,1.83%,16.98
Honduras,12,305,3.93%,19.56
Russia,11,5033,0.22%,43.69
Czechia,11,1151,0.96%,17.65
Turkey,10,2507,0.4%,22.11
Chile,10,1557,0.64%,19.41
Austria,10,1119,0.89%,23.69
Uruguay,10,459,2.18%,22.98
Belgium,9,3511,0.26%,24.74
Kenya,9,1235,0.73%,16.93
Paraguay,9,501,1.8%,26.18
Switzerland,8,3171,0.25%,25.85
