Date,Not indexed,Indexed,Impressions
2026-04-14,,,3468
2026-04-15,,,4058
2026-04-16,,,5151
2026-04-17,1866,274,4322
2026-04-18,1828,272,4258
2026-04-19,1828,272,4497
2026-04-20,1828,272,4438
2026-04-21,1793,255,5899
2026-04-22,1793,255,4736
2026-04-23,1793,255,4638
2026-04-24,1793,255,3904
2026-04-25,1773,250,3323
2026-04-26,1773,250,3566
2026-04-27,1773,250,4193
2026-04-28,1707,245,4322
2026-04-29,1707,245,5431
2026-04-30,1707,245,5041
2026-05-01,1707,245,4173
2026-05-02,1669,238,4185
2026-05-03,1669,238,7078
2026-05-04,1669,238,6582
2026-05-05,1613,232,6127
2026-05-06,1613,232,6299
2026-05-07,1613,232,6682
2026-05-08,1613,232,5653
2026-05-09,1563,236,5639
2026-05-10,1563,236,5253
2026-05-11,1563,236,6033
2026-05-12,1515,239,5527
2026-05-13,1515,239,5677
2026-05-14,1515,239,6128
2026-05-15,1515,239,5455
2026-05-16,1474,246,4323
2026-05-17,1474,246,4596
2026-05-18,1474,246,4920
2026-05-19,1435,265,4300
2026-05-20,1435,265,4743
2026-05-21,1435,265,5165
2026-05-22,1435,265,3999
2026-05-23,1424,267,3387
2026-05-24,1424,267,4310
2026-05-25,1424,267,4356
2026-05-26,1403,271,4620
2026-05-27,1403,271,4447
2026-05-28,1403,271,5662
2026-05-29,1403,271,4457
2026-05-30,1388,266,3993
2026-05-31,1388,266,4742
2026-06-01,1388,266,5036
2026-06-02,1365,264,4827
2026-06-03,1365,264,5011
2026-06-04,1365,264,5266
2026-06-05,1365,264,4505
2026-06-06,1348,264,4667
2026-06-07,1348,264,4880
2026-06-08,1348,264,5229
2026-06-09,1328,265,6317
2026-06-10,1328,265,4842
2026-06-11,1328,265,4484
2026-06-12,1328,265,3931
2026-06-13,1179,251,3406
2026-06-14,1179,251,3362
2026-06-15,1179,251,4886
2026-06-16,1179,251,5707
2026-06-17,1179,251,7111
2026-06-18,1179,251,9632
2026-06-19,1179,251,7472
2026-06-20,1179,251,7396
2026-06-21,1179,251,7128
2026-06-22,1179,251,8354
2026-06-23,1179,251,9025
2026-06-24,1179,251,9334
2026-06-25,1179,251,9093
2026-06-26,1179,251,5416
2026-06-27,1179,251,5259
2026-06-28,1179,251,5290
2026-06-29,1179,251,5536
2026-06-30,1179,251,5463
