"Address","Content Type","Status Code","Status","Indexability","Indexability Status","Title 1","Title 1 Length","Title 1 Pixel Width","Meta Description 1","Meta Description 1 Length","Meta Description 1 Pixel Width","Meta Keywords 1","Meta Keywords 1 Length","H1-1","H1-1 Length","H2-1","H2-1 Length","H2-2","H2-2 Length","Meta Robots 1","X-Robots-Tag 1","Meta Refresh 1","Canonical Link Element 1","rel=""next"" 1","rel=""prev"" 1","HTTP rel=""next"" 1","HTTP rel=""prev"" 1","amphtml Link Element","Size (bytes)","Transferred (bytes)","Total Transferred (bytes)","CO2 (mg)","Carbon Rating","Word Count","Sentence Count","Average Words Per Sentence","Flesch Reading Ease Score","Readability","Text Ratio","Crawl Depth","Folder Depth","Link Score","Inlinks","Unique Inlinks","Unique JS Inlinks","% of Total","Outlinks","Unique Outlinks","Unique JS Outlinks","External Outlinks","Unique External Outlinks","Unique External JS Outlinks","Closest Near Duplicate Match","No. Near Duplicates","Spelling Errors","Grammar Errors","Hash","Response Time","Last Modified","Redirect URL","Redirect Type","Cookies","Language","HTTP Version","Mobile Alternate Link","Closest Semantically Similar Address","Semantic Similarity Score","No. Semantically Similar","Semantic Relevance Score","URL Encoded Address","Crawl Timestamp"
"https://staging.jakevibes.dev/videos?page=2","text/html; charset=utf-8","200","OK","Indexable","","Video Library | Cloud Employee | Cloud Employee","47","433","Watch customer interviews, hiring process walkthroughs, and short explainers on offshoring, retention, and embedded engineering from Cloud Employee.","148","943","","0","Video Library","13","All video content","17","Ready to hire your next engineer?","33","index, follow","","","https://staging.jakevibes.dev/videos?page=2","","https://staging.jakevibes.dev/videos","","","","261275","32320","32320","12.381","","663","110","6.027","56.910","Fairly Hard","2.447","2","0","","3","2","0","0.610","130","61","0","1","1","0","","","","","6345abae70eb216bc5c584cad78f591b","0.694","","","","","en-US","1.1","","","","","","https://staging.jakevibes.dev/videos?page=2","2026-07-28 14:17:04"
"https://staging.jakevibes.dev/videos/why-the-philippines-is-a-smart-choice-for-growing-your-dev-team","text/html; charset=utf-8","200","OK","Indexable","","Why the Philippines Is a Smart Choice for Growing Your Dev Team | Cloud Employee","80","746","See why the Philippines is the smart choice for scaling dev teams - English fluency, time zone alignment, and 180k+ tech grads each year.","137","840","","0","Why the Philippines Is a Smart Choice for Growing Your Dev Team","63","About this video","16","Speakers in this video","22","index, follow","","","https://staging.jakevibes.dev/videos/why-the-philippines-is-a-smart-choice-for-growing-your-dev-team","","","","","","208895","28268","28268","10.829","","461","77","5.987","56.700","Fairly Hard","2.372","3","1","","2","2","0","0.610","114","51","0","2","2","0","","","","","763685f49cf8aba735743194678ea510","0.901","","","","","en-US","1.1","","","","","","https://staging.jakevibes.dev/videos/why-the-philippines-is-a-smart-choice-for-growing-your-dev-team","2026-07-28 14:17:55"
"https://staging.jakevibes.dev/videos/what-connection-looks-like-in-a-global-dev-team","text/html; charset=utf-8","200","OK","Indexable","","What Connection Looks Like in a Global Dev Team | Cloud Employee","64","606","Discover how Cloud Employee connects offshore developers through culture, events, and support - proving remote teams can still feel truly connected.","148","923","","0","What Connection Looks Like in a Global Dev Team","47","About this video","16","Speakers in this video","22","index, follow","","","https://staging.jakevibes.dev/videos/what-connection-looks-like-in-a-global-dev-team","","","","","","209136","28185","28185","10.797","","442","73","6.055","55.415","Fairly Hard","2.327","3","1","","2","2","0","0.610","114","51","0","2","2","0","","","","","2c63415b555393d31bf1b3e909533469","0.710","","","","","en-US","1.1","","","","","","https://staging.jakevibes.dev/videos/what-connection-looks-like-in-a-global-dev-team","2026-07-28 14:17:56"
"https://staging.jakevibes.dev/videos/peer-forums-for-remote-developers","text/html; charset=utf-8","200","OK","Indexable","","Peer Forums for Remote Developers | Cloud Employee","50","483","Cloud Employee CEO Seb Hall reveals how Peer Forums connect offshore developers for UK & US clients—sharing challenges, ideas & building lasting bonds.","151","958","","0","Peer Forums for Remote Developers","33","About this video","16","Speakers in this video","22","index, follow","","","https://staging.jakevibes.dev/videos/peer-forums-for-remote-developers","","","","","","209166","28126","28126","10.775","","488","83","5.880","60.098","Normal","2.439","3","1","","2","2","0","0.610","114","51","0","2","2","0","","","","","301244680c13919c5b0bf1080a88d700","0.929","","","","","en-US","1.1","","","","","","https://staging.jakevibes.dev/videos/peer-forums-for-remote-developers","2026-07-28 14:17:55"
"https://staging.jakevibes.dev/videos/peer-forum-building-connections-beyond-work","text/html; charset=utf-8","200","OK","Indexable","","Peer Forum: Building Connections Beyond Work | Cloud Employee","61","581","Discover how the CE Forum builds community among tech leaders - sharing insights, offering support, and fostering real connections every month.","143","902","","0","Peer Forum: Building Connections Beyond Work","44","About this video","16","Ready to hire your next engineer?","33","index, follow","","","","","","","","","207329","28335","28335","10.855","","431","79","5.456","56.045","Fairly Hard","2.317","3","1","","2","2","0","0.610","114","51","0","1","1","0","","","","","4c7a84d1b8769c7bd2d50a4500de718f","0.446","","","","","en-US","1.1","","","","","","https://staging.jakevibes.dev/videos/peer-forum-building-connections-beyond-work","2026-07-28 14:17:57"
"https://staging.jakevibes.dev/videos/pair-programming-at-cloud-employee","text/html; charset=utf-8","200","OK","Indexable","","Pair Programming at Cloud Employee | Cloud Employee","51","493","See how pair programming at Cloud Employee reveals developer skills in problem-solving, communication, and teamwork - beyond what CVs and tests can show.","153","990","","0","Pair Programming at Cloud Employee","34","About this video","16","Ready to hire your next engineer?","33","index, follow","","","","","","","","","208434","28533","28533","10.930","","476","85","5.600","54.167","Fairly Hard","2.457","3","1","","2","2","0","0.610","114","51","0","1","1","0","","","","","c0cd89b70f5863c2aeb81a9f9bdceba7","0.843","","","","","en-US","1.1","","","","","","https://staging.jakevibes.dev/videos/pair-programming-at-cloud-employee","2026-07-28 14:18:47"
"https://staging.jakevibes.dev/videos/onboarding-offshore-devs-that-deliver-fast","text/html; charset=utf-8","200","OK","Indexable","","Onboarding Offshore Devs That Deliver Fast | Cloud Employee","59","550","Cloud Employee CTO Anto Cabraja shares his #1 onboarding tip to help UK & US tech leaders get offshore devs delivering value fast in the first 90 days.","151","928","","0","Onboarding Offshore Devs That Deliver Fast","42","About this video","16","Speakers in this video","22","index, follow","","","https://staging.jakevibes.dev/videos/onboarding-offshore-devs-that-deliver-fast","","","","","","209875","28884","28884","11.065","","434","78","5.564","55.184","Fairly Hard","2.296","3","1","","2","2","0","0.610","114","51","0","2","2","0","","","","","645d100714a96407bfe299fb1965c980","0.653","","","","","en-US","1.1","","","","","","https://staging.jakevibes.dev/videos/onboarding-offshore-devs-that-deliver-fast","2026-07-28 14:18:47"
"https://staging.jakevibes.dev/videos/onboarding-global-dev-teams-with-purpose","text/html; charset=utf-8","200","OK","Indexable","","Onboarding Global Dev Teams with Purpose | Cloud Employee","57","551","Cloud Employee CEO Seb Hall shares how UK & US tech leaders embed purpose in global engineering teams - from onboarding to daily collaboration.","143","911","","0","Onboarding Global Dev Teams with Purpose","40","About this video","16","Speakers in this video","22","index, follow","","","https://staging.jakevibes.dev/videos/onboarding-global-dev-teams-with-purpose","","","","","","209052","28300","28300","10.841","","448","78","5.744","55.599","Fairly Hard","2.323","3","1","","2","2","0","0.610","114","51","0","2","2","0","","","","","724d9081175b759a683fb824cda9b5e1","0.928","","","","","en-US","1.1","","","","","","https://staging.jakevibes.dev/videos/onboarding-global-dev-teams-with-purpose","2026-07-28 14:17:56"
"https://staging.jakevibes.dev/videos/matching-company-values","text/html; charset=utf-8","200","OK","Indexable","","Matching Company Values | Cloud Employee","40","396","Cloud Employee ensures remote work success by matching developers to your company’s values, not just projects - driving alignment, productivity, and long-term growth.","166","1044","","0","Matching Company Values","23","About this video","16","Speakers in this video","22","index, follow","","","https://staging.jakevibes.dev/videos/matching-company-values","","","","","","202422","27015","27015","10.349","","370","69","5.362","48.198","Hard","2.211","2","1","","2","2","0","0.610","114","51","0","2","2","0","","","","","ffb0727d0d0c21a4152b1f8852288eb1","0.523","","","","","en-US","1.1","","","","","","https://staging.jakevibes.dev/videos/matching-company-values","2026-07-28 14:17:06"
"https://staging.jakevibes.dev/videos/how-we-retain-97-of-remote-developers","text/html; charset=utf-8","200","OK","Indexable","","How we Retain 97% of Remote Developers | Cloud Employee","55","536","Discover how Cloud Employee achieves a 97% developer retention rate with a culture of support, wellness, and learning that builds long-term remote teams.","153","954","","0","How we Retain 97% of Remote Developers","38","About this video","16","Speakers in this video","22","index, follow","","","https://staging.jakevibes.dev/videos/how-we-retain-97-of-remote-developers","","","","","","211268","28431","28431","10.891","","517","87","5.943","59.422","Fairly Hard","2.511","3","1","","2","2","0","0.610","114","51","0","2","2","0","","","","","3d44c4ff67181747925c4ddca4423185","0.414","","","","","en-US","1.1","","","","","","https://staging.jakevibes.dev/videos/how-we-retain-97-of-remote-developers","2026-07-28 14:17:55"
