"Address","Occurrences","Title 1","Title 1 Length","Title 1 Pixel Width","Indexability","Indexability Status"
"https://staging.jakevibes.dev/about-us","1","About Us | Cloud Employee","25","239","Indexable",""
"https://staging.jakevibes.dev/about-us?61e47ae8_page=2","1","About Us | Cloud Employee","25","239","Non-Indexable","Canonicalised"
"https://staging.jakevibes.dev/about-us?61e47ae8_page=3","1","About Us | Cloud Employee","25","239","Non-Indexable","Canonicalised"
"https://staging.jakevibes.dev/?d4037527_page=2","1","Hire Engineers Vetted by Engineers | Cloud Employee","51","471","Non-Indexable","Canonicalised"
"https://staging.jakevibes.dev/","1","Hire Engineers Vetted by Engineers | Cloud Employee","51","471","Indexable",""
"https://staging.jakevibes.dev/ai-in-software-development","1","AI in Software Development Knowledge Hub | Cloud Employee","57","552","Indexable",""
"https://staging.jakevibes.dev/ai-in-software-development/securing-ai-the-ctos-guide-to-validation-and-minimum-safety-standards","1","Securing AI: The CTO’s Guide to Validation & Safety Standards | Cloud Employee","78","711","Indexable",""
"https://staging.jakevibes.dev/ai-in-software-development/shaping-whats-next-how-future-forward-is-advancing-ai-at-cloud-employee","1","Shaping What’s Next: How Future Forward is Advancing AI at Cloud Employee","73","688","Indexable",""
"https://staging.jakevibes.dev/ai-in-software-development/why-staff-augmentation-matters-in-the-age-of-ai","1","Why Staff Augmentation Matters in the Age of AI | Cloud Employee","64","593","Indexable",""
"https://staging.jakevibes.dev/book-a-call","1","Book a Discovery Call | Cloud Employee","38","348","Indexable",""
"https://staging.jakevibes.dev/alternatives","1","Cloud Employee Alternatives | Compare Providers Side by Side","60","556","Indexable",""
"https://staging.jakevibes.dev/blog","1","All Blogs & Guides | Cloud Employee","35","319","Indexable",""
"https://staging.jakevibes.dev/compare/arc-dev-contract-cancellation-exit-terms","1","Arc.dev Exit Costs: Contract Terms & Cancellation Guide | Cloud Employee","72","659","Indexable",""
"https://staging.jakevibes.dev/compare/arc-dev-to-dedicated-team-migration-guide","1","Arc.dev Alternative: Migration Guide for CTOs in 2026 | Cloud Employee","70","634","Indexable",""
"https://staging.jakevibes.dev/compare/arc-dev-pricing-vs-cloud-employee-true-cost","1","Arc.dev Pricing 2026: True Cost vs Cloud Employee Model","55","513","Indexable",""
"https://staging.jakevibes.dev/compare/arc-dev-vs-toptal-vs-cloud-employee-which-model-fits-your-runway","1","Arc.dev Alternatives That Extend Your Runway 2026 | Cloud Employee","66","619","Indexable",""
"https://staging.jakevibes.dev/compare/arc-dev-alternatives-for-startups-2026-comparison-guide","1","Arc.dev Alternatives: 2026 CTO Comparison Guide | Cloud Employee","64","606","Indexable",""
"https://staging.jakevibes.dev/compare/cloud-employee-pricing-plans-cost-breakdown","1","Cloud Employee Pricing 2026: Rates, Plans & Cost Guide","54","499","Indexable",""
"https://staging.jakevibes.dev/compare/cloud-employee-no-hidden-fees-transparency","1","Cloud Employee Pricing: No Hidden Fees or Surprise Costs","56","519","Indexable",""
"https://staging.jakevibes.dev/compare/cloud-employee-vs-beon-tech","1","Cloud Employee vs BEON.tech | Nearshore Staff Augmentation","58","557","Indexable",""
"https://staging.jakevibes.dev/compare/cloud-employee-vs-bairesdev-reviews","1","Cloud Employee vs. BairesDev Review","35","337","Indexable",""
"https://staging.jakevibes.dev/compare/cloud-employee-vs-andela","1","Cloud Employee vs. Andela | Transparent, Embedded, and Retention-Focused","72","682","Indexable",""
"https://staging.jakevibes.dev/compare/cloud-employee-vs-fiverr","1","Cloud Employee vs. Fiverr Review","32","298","Indexable",""
"https://staging.jakevibes.dev/compare/cloud-employee-vs-upwork","1","Cloud Employee vs. UpWork Review","32","317","Indexable",""
"https://staging.jakevibes.dev/compare/cloud-employee-vs-contra","1","Cloud Employee vs. Contra Review","32","307","Indexable",""
"https://staging.jakevibes.dev/compare/cloud-employee-vs-unosquare","1","Cloud Employee vs Unosquare | Global Reach vs Nearshore Focus","61","582","Indexable",""
