"Address","Occurrences","Meta Robots 1","X-Robots-Tag 1","Meta Refresh 1","Canonical Link Element 1","HTTP Canonical","Indexability","Indexability Status"
"https://staging.jakevibes.dev/about-us","1","index, follow","","","https://staging.jakevibes.dev/about-us","","Indexable",""
"https://staging.jakevibes.dev/about-us?61e47ae8_page=2","1","index, follow","","","https://staging.jakevibes.dev/about-us","","Non-Indexable","Canonicalised"
"https://staging.jakevibes.dev/about-us?61e47ae8_page=3","1","index, follow","","","https://staging.jakevibes.dev/about-us","","Non-Indexable","Canonicalised"
"https://staging.jakevibes.dev/?d4037527_page=2","1","index, follow","","","https://staging.jakevibes.dev/","","Non-Indexable","Canonicalised"
"https://staging.jakevibes.dev/","1","index, follow","","","https://staging.jakevibes.dev/","","Indexable",""
"https://staging.jakevibes.dev/ai-in-software-development","1","index, follow","","","https://staging.jakevibes.dev/ai-in-software-development","","Indexable",""
"https://staging.jakevibes.dev/ai-in-software-development/securing-ai-the-ctos-guide-to-validation-and-minimum-safety-standards","1","index, follow","","","https://staging.jakevibes.dev/ai-in-software-development/securing-ai-the-ctos-guide-to-validation-and-minimum-safety-standards","","Indexable",""
"https://staging.jakevibes.dev/ai-in-software-development/shaping-whats-next-how-future-forward-is-advancing-ai-at-cloud-employee","1","index, follow","","","https://staging.jakevibes.dev/ai-in-software-development/shaping-whats-next-how-future-forward-is-advancing-ai-at-cloud-employee","","Indexable",""
"https://staging.jakevibes.dev/ai-in-software-development/why-staff-augmentation-matters-in-the-age-of-ai","1","index, follow","","","https://staging.jakevibes.dev/ai-in-software-development/why-staff-augmentation-matters-in-the-age-of-ai","","Indexable",""
"https://staging.jakevibes.dev/book-a-call","1","index, follow","","","https://staging.jakevibes.dev/book-a-call","","Indexable",""
"https://staging.jakevibes.dev/alternatives","1","index, follow","","","https://staging.jakevibes.dev/alternatives","","Indexable",""
"https://staging.jakevibes.dev/blog","1","index, follow","","","https://staging.jakevibes.dev/blog","","Indexable",""
"https://staging.jakevibes.dev/compare/arc-dev-contract-cancellation-exit-terms","1","index, follow","","","https://staging.jakevibes.dev/compare/arc-dev-contract-cancellation-exit-terms","","Indexable",""
"https://staging.jakevibes.dev/compare/arc-dev-to-dedicated-team-migration-guide","1","index, follow","","","https://staging.jakevibes.dev/compare/arc-dev-to-dedicated-team-migration-guide","","Indexable",""
"https://staging.jakevibes.dev/compare/arc-dev-pricing-vs-cloud-employee-true-cost","1","index, follow","","","https://staging.jakevibes.dev/compare/arc-dev-pricing-vs-cloud-employee-true-cost","","Indexable",""
"https://staging.jakevibes.dev/compare/arc-dev-vs-toptal-vs-cloud-employee-which-model-fits-your-runway","1","index, follow","","","https://staging.jakevibes.dev/compare/arc-dev-vs-toptal-vs-cloud-employee-which-model-fits-your-runway","","Indexable",""
"https://staging.jakevibes.dev/compare/arc-dev-alternatives-for-startups-2026-comparison-guide","1","index, follow","","","https://staging.jakevibes.dev/compare/arc-dev-alternatives-for-startups-2026-comparison-guide","","Indexable",""
"https://staging.jakevibes.dev/compare/cloud-employee-pricing-plans-cost-breakdown","1","index, follow","","","https://staging.jakevibes.dev/compare/cloud-employee-pricing-plans-cost-breakdown","","Indexable",""
"https://staging.jakevibes.dev/compare/cloud-employee-no-hidden-fees-transparency","1","index, follow","","","https://staging.jakevibes.dev/compare/cloud-employee-no-hidden-fees-transparency","","Indexable",""
"https://staging.jakevibes.dev/compare/cloud-employee-vs-beon-tech","1","index, follow","","","https://staging.jakevibes.dev/compare/cloud-employee-vs-beon-tech","","Indexable",""
"https://staging.jakevibes.dev/compare/cloud-employee-vs-bairesdev-reviews","1","index, follow","","","https://staging.jakevibes.dev/compare/cloud-employee-vs-bairesdev-reviews","","Indexable",""
"https://staging.jakevibes.dev/compare/cloud-employee-vs-andela","1","index, follow","","","https://staging.jakevibes.dev/compare/cloud-employee-vs-andela","","Indexable",""
"https://staging.jakevibes.dev/compare/cloud-employee-vs-fiverr","1","index, follow","","","https://staging.jakevibes.dev/compare/cloud-employee-vs-fiverr","","Indexable",""
"https://staging.jakevibes.dev/compare/cloud-employee-vs-upwork","1","index, follow","","","https://staging.jakevibes.dev/compare/cloud-employee-vs-upwork","","Indexable",""
"https://staging.jakevibes.dev/compare/cloud-employee-vs-contra","1","index, follow","","","https://staging.jakevibes.dev/compare/cloud-employee-vs-contra","","Indexable",""
"https://staging.jakevibes.dev/compare/cloud-employee-vs-unosquare","1","index, follow","","","https://staging.jakevibes.dev/compare/cloud-employee-vs-unosquare","","Indexable",""
"https://staging.jakevibes.dev/compare/dedicated-teams-vs-toptal","1","index, follow","","","https://staging.jakevibes.dev/compare/dedicated-teams-vs-toptal","","Indexable",""
"https://staging.jakevibes.dev/compare/inhouse-hiring","1","index, follow","","","https://staging.jakevibes.dev/compare/inhouse-hiring","","Indexable",""
"https://staging.jakevibes.dev/compare/toptal-vs-upwork","1","index, follow","","","https://staging.jakevibes.dev/compare/toptal-vs-upwork","","Indexable",""
"https://staging.jakevibes.dev/compare/switching-from-arc-dev-to-a-dedicated-development-team","1","index, follow","","","https://staging.jakevibes.dev/compare/switching-from-arc-dev-to-a-dedicated-development-team","","Indexable",""
"https://staging.jakevibes.dev/compare/freelancers","1","index, follow","","","https://staging.jakevibes.dev/compare/freelancers","","Indexable",""
"https://staging.jakevibes.dev/contact","1","index, follow","","","https://staging.jakevibes.dev/contact","","Indexable",""
"https://staging.jakevibes.dev/compare/the-hidden-costs-of-arc-dev-screening-time-failed-hires-and-context-switching","1","index, follow","","","https://staging.jakevibes.dev/compare/the-hidden-costs-of-arc-dev-screening-time-failed-hires-and-context-switching","","Indexable",""
"https://staging.jakevibes.dev/customer-stories","1","index, follow","","","https://staging.jakevibes.dev/customer-stories","","Indexable",""
"https://staging.jakevibes.dev/customer-story/cleanlink","1","index, follow","","","https://staging.jakevibes.dev/customer-story/cleanlink","","Indexable",""
"https://staging.jakevibes.dev/customer-story/mercato","1","index, follow","","","https://staging.jakevibes.dev/customer-story/mercato","","Indexable",""
"https://staging.jakevibes.dev/customer-story/event-connections","1","index, follow","","","https://staging.jakevibes.dev/customer-story/event-connections","","Indexable",""
"https://staging.jakevibes.dev/customer-story/salmon-software","1","index, follow","","","https://staging.jakevibes.dev/customer-story/salmon-software","","Indexable",""
"https://staging.jakevibes.dev/customer-story/sqr","1","index, follow","","","https://staging.jakevibes.dev/customer-story/sqr","","Indexable",""
"https://staging.jakevibes.dev/downloads","1","index, follow","","","https://staging.jakevibes.dev/downloads","","Indexable",""
"https://staging.jakevibes.dev/customer-story/willo","1","index, follow","","","https://staging.jakevibes.dev/customer-story/willo","","Indexable",""
"https://staging.jakevibes.dev/download/10-ai-prompts","1","index, follow","","","https://staging.jakevibes.dev/download/10-ai-prompts","","Indexable",""
"https://staging.jakevibes.dev/events","1","index, follow","","","https://staging.jakevibes.dev/events","","Indexable",""
"https://staging.jakevibes.dev/hiring-tips/hiring-developers-in-the-philippines-cost-quality-culture-fit-for-outsourced-software-development","1","index, follow","","","https://staging.jakevibes.dev/hiring-tips/hiring-developers-in-the-philippines-cost-quality-culture-fit-for-outsourced-software-development","","Indexable",""
"https://staging.jakevibes.dev/hiring-tips","1","index, follow","","","https://staging.jakevibes.dev/hiring-tips","","Indexable",""
